DATE		,	COUNT
17/12/2015	,	28148.63739
18/12/2015	,	27407.88377
19/12/2015	,	22222.60846
20/12/2015	,	24444.86931
21/12/2015	,	25926.37654
22/12/2015	,	23704.11569
23/12/2015	,	27407.88377
24/12/2015	,	25185.62292
25/12/2015	,	23704.11569
26/12/2015	,	26667.13016
27/12/2015	,	23704.11569
28/12/2015	,	24444.86931
29/12/2015	,	24444.86931
30/12/2015	,	25185.62292
31/12/2015	,	22963.36208
01/01/2016	,	19259.594
02/01/2016	,	21481.85485
03/01/2016	,	22963.36208
04/01/2016	,	22963.36208
05/01/2016	,	25185.62292
06/01/2016	,	22963.36208
07/01/2016	,	28148.63739
08/01/2016	,	27407.88377
09/01/2016	,	22963.36208
10/01/2016	,	21481.85485
11/01/2016	,	25185.62292
12/01/2016	,	20741.10123
13/01/2016	,	24444.86931
14/01/2016	,	24444.86931
15/01/2016	,	31852.40546
16/01/2016	,	33333.91269
17/01/2016	,	28889.391
18/01/2016	,	28148.63739
19/01/2016	,	27407.88377
20/01/2016	,	29630.14462
21/01/2016	,	27407.88377
22/01/2016	,	25926.37654
23/01/2016	,	25926.37654
24/01/2016	,	21481.85485
25/01/2016	,	24444.86931
26/01/2016	,	24444.86931
27/01/2016	,	23704.11569
28/01/2016	,	24444.86931
29/01/2016	,	24444.86931
30/01/2016	,	20741.10123
31/01/2016	,	20741.10123
01/02/2016	,	22963.36208
02/02/2016	,	20000.34762
03/02/2016	,	22963.36208
04/02/2016	,	21481.85485
05/02/2016	,	21481.85485
06/02/2016	,	20741.10123
07/02/2016	,	21481.85485
08/02/2016	,	20741.10123
09/02/2016	,	22222.60846
10/02/2016	,	24444.86931
11/02/2016	,	25926.37654
12/02/2016	,	22963.36208
13/02/2016	,	21481.85485
14/02/2016	,	21481.85485
15/02/2016	,	25926.37654
16/02/2016	,	25185.62292
17/02/2016	,	25185.62292
18/02/2016	,	28148.63739
19/02/2016	,	27407.88377
20/02/2016	,	25185.62292
21/02/2016	,	25185.62292
22/02/2016	,	24444.86931
23/02/2016	,	23704.11569
24/02/2016	,	25926.37654
25/02/2016	,	23704.11569
26/02/2016	,	24444.86931
27/02/2016	,	22963.36208
28/02/2016	,	21481.85485
29/02/2016	,	23704.11569
01/03/2016	,	23704.11569
02/03/2016	,	24444.86931
03/03/2016	,	25926.37654
04/03/2016	,	22963.36208
05/03/2016	,	27407.88377
06/03/2016	,	20741.10123
07/03/2016	,	24444.86931
08/03/2016	,	23704.11569
09/03/2016	,	24444.86931
10/03/2016	,	22222.60846
11/03/2016	,	20741.10123
12/03/2016	,	21481.85485
13/03/2016	,	20741.10123
14/03/2016	,	24444.86931
15/03/2016	,	22963.36208
16/03/2016	,	22963.36208
17/03/2016	,	20741.10123
18/03/2016	,	20000.34762
19/03/2016	,	21481.85485
20/03/2016	,	22222.60846
21/03/2016	,	22963.36208
22/03/2016	,	22963.36208
23/03/2016	,	22222.60846
24/03/2016	,	20741.10123
25/03/2016	,	20000.34762
26/03/2016	,	20000.34762
27/03/2016	,	21481.85485
28/03/2016	,	20741.10123
29/03/2016	,	22222.60846
30/03/2016	,	23704.11569
31/03/2016	,	22963.36208
01/04/2016	,	20741.10123
02/04/2016	,	20741.10123
03/04/2016	,	20000.34762
04/04/2016	,	21481.85485
05/04/2016	,	22963.36208
06/04/2016	,	22222.60846
07/04/2016	,	22222.60846
08/04/2016	,	21481.85485
09/04/2016	,	19259.594
10/04/2016	,	21481.85485
11/04/2016	,	21481.85485
12/04/2016	,	22963.36208
13/04/2016	,	23704.11569
14/04/2016	,	19259.594
15/04/2016	,	19259.594
16/04/2016	,	19259.594
17/04/2016	,	20000.34762
18/04/2016	,	20000.34762
19/04/2016	,	22222.60846
20/04/2016	,	21481.85485
21/04/2016	,	23704.11569
22/04/2016	,	25185.62292
23/04/2016	,	21481.85485
24/04/2016	,	22963.36208
25/04/2016	,	24444.86931
26/04/2016	,	24444.86931
27/04/2016	,	25926.37654
28/04/2016	,	28148.63739
29/04/2016	,	24444.86931
30/04/2016	,	22963.36208
01/05/2016	,	20000.34762
02/05/2016	,	74075.36154
03/05/2016	,	46667.47777
04/05/2016	,	31852.40546
05/05/2016	,	31852.40546
06/05/2016	,	28889.391
07/05/2016	,	27407.88377
08/05/2016	,	26667.13016
09/05/2016	,	28148.63739
10/05/2016	,	26667.13016
11/05/2016	,	26667.13016
12/05/2016	,	24444.86931
13/05/2016	,	24444.86931
14/05/2016	,	20741.10123
15/05/2016	,	20000.34762
16/05/2016	,	20000.34762
17/05/2016	,	25185.62292
18/05/2016	,	23704.11569
19/05/2016	,	24444.86931
20/05/2016	,	24444.86931
21/05/2016	,	21481.85485
22/05/2016	,	20741.10123
23/05/2016	,	22963.36208
24/05/2016	,	21481.85485
25/05/2016	,	24444.86931
26/05/2016	,	20741.10123
27/05/2016	,	27407.88377
28/05/2016	,	31111.65185
29/05/2016	,	32593.15908
30/05/2016	,	34074.66631
31/05/2016	,	31111.65185
01/06/2016	,	29770.35035
02/06/2016	,	28069.18747
03/06/2016	,	29770.35035
04/06/2016	,	31471.51323
05/06/2016	,	29770.35035
06/06/2016	,	30620.93179
07/06/2016	,	30620.93179
08/06/2016	,	28069.18747
09/06/2016	,	28919.76891
10/06/2016	,	26368.02459
11/06/2016	,	28069.18747
12/06/2016	,	39977.32761
13/06/2016	,	47632.56056
14/06/2016	,	41678.49049
15/06/2016	,	36575.00186
16/06/2016	,	48483.142
17/06/2016	,	48483.142
18/06/2016	,	39977.32761
19/06/2016	,	34023.25754
20/06/2016	,	37425.5833
21/06/2016	,	44230.2348
22/06/2016	,	37425.5833
23/06/2016	,	40827.90905
24/06/2016	,	54437.21207
25/06/2016	,	40827.90905
26/06/2016	,	33172.6761
27/06/2016	,	34873.83898
28/06/2016	,	34873.83898
29/06/2016	,	30620.93179
30/06/2016	,	31471.51323
01/07/2016	,	33172.6761
02/07/2016	,	28919.76891
03/07/2016	,	30620.93179
04/07/2016	,	30620.93179
05/07/2016	,	28919.76891
06/07/2016	,	30620.93179
07/07/2016	,	31471.51323
08/07/2016	,	30620.93179
09/07/2016	,	41678.49049
10/07/2016	,	32322.09466
11/07/2016	,	29770.35035
12/07/2016	,	28919.76891
13/07/2016	,	26368.02459
14/07/2016	,	26368.02459
15/07/2016	,	26368.02459
16/07/2016	,	24666.86172
17/07/2016	,	24666.86172
18/07/2016	,	25517.44316
19/07/2016	,	24666.86172
20/07/2016	,	24666.86172
21/07/2016	,	26368.02459
22/07/2016	,	22115.1174
23/07/2016	,	22115.1174
24/07/2016	,	23816.28028
25/07/2016	,	22115.1174
26/07/2016	,	25517.44316
27/07/2016	,	26368.02459
28/07/2016	,	24666.86172
29/07/2016	,	21264.53596
30/07/2016	,	23816.28028
31/07/2016	,	24666.86172
01/08/2016	,	26368.02459
02/08/2016	,	33172.6761
03/08/2016	,	56988.95638
04/08/2016	,	36575.00186
05/08/2016	,	27218.60603
06/08/2016	,	26368.02459
07/08/2016	,	28069.18747
08/08/2016	,	28069.18747
09/08/2016	,	27218.60603
10/08/2016	,	23816.28028
11/08/2016	,	21264.53596
12/08/2016	,	22115.1174
13/08/2016	,	22965.69884
14/08/2016	,	22115.1174
15/08/2016	,	22965.69884
16/08/2016	,	22965.69884
17/08/2016	,	22965.69884
18/08/2016	,	22115.1174
19/08/2016	,	22965.69884
20/08/2016	,	20413.95452
21/08/2016	,	22115.1174
22/08/2016	,	22115.1174
23/08/2016	,	23816.28028
24/08/2016	,	24666.86172
25/08/2016	,	24666.86172
26/08/2016	,	24666.86172
27/08/2016	,	21264.53596
28/08/2016	,	21264.53596
29/08/2016	,	22965.69884
30/08/2016	,	22965.69884
31/08/2016	,	23816.28028
01/09/2016	,	24666.86172
02/09/2016	,	22115.1174
03/09/2016	,	22965.69884
04/09/2016	,	26368.02459
05/09/2016	,	25517.44316
06/09/2016	,	24666.86172
07/09/2016	,	25517.44316
08/09/2016	,	26368.02459
09/09/2016	,	25517.44316
10/09/2016	,	24666.86172
11/09/2016	,	22965.69884
12/09/2016	,	27218.60603
13/09/2016	,	26368.02459
14/09/2016	,	24666.86172
15/09/2016	,	26368.02459
16/09/2016	,	24666.86172
17/09/2016	,	22965.69884
18/09/2016	,	21264.53596
19/09/2016	,	23816.28028
20/09/2016	,	23816.28028
21/09/2016	,	26368.02459
22/09/2016	,	26368.02459
23/09/2016	,	23816.28028
24/09/2016	,	25517.44316
25/09/2016	,	22115.1174
26/09/2016	,	23816.28028
27/09/2016	,	23816.28028
28/09/2016	,	22965.69884
29/09/2016	,	22965.69884
30/09/2016	,	23816.28028
01/10/2016	,	22965.69884
02/10/2016	,	22115.1174
03/10/2016	,	23816.28028
04/10/2016	,	23816.28028
05/10/2016	,	23816.28028
06/10/2016	,	24666.86172
07/10/2016	,	25517.44316
08/10/2016	,	22965.69884
09/10/2016	,	22965.69884
10/10/2016	,	23816.28028
11/10/2016	,	28919.76891
12/10/2016	,	27218.60603
13/10/2016	,	25517.44316
14/10/2016	,	26368.02459
15/10/2016	,	23816.28028
16/10/2016	,	26368.02459
17/10/2016	,	25517.44316
18/10/2016	,	24666.86172
19/10/2016	,	25517.44316
20/10/2016	,	23816.28028
21/10/2016	,	23816.28028
22/10/2016	,	24666.86172
23/10/2016	,	26368.02459
24/10/2016	,	26368.02459
25/10/2016	,	25517.44316
26/10/2016	,	27218.60603
27/10/2016	,	28919.76891
28/10/2016	,	30620.93179
29/10/2016	,	35724.42042
30/10/2016	,	30620.93179
31/10/2016	,	30620.93179
01/11/2016	,	33172.6761
02/11/2016	,	31471.51323
03/11/2016	,	32322.09466
04/11/2016	,	30620.93179
05/11/2016	,	30620.93179
06/11/2016	,	28919.76891
07/11/2016	,	28069.18747
08/11/2016	,	28919.76891
09/11/2016	,	41678.49049
10/11/2016	,	29770.35035
11/11/2016	,	28919.76891
12/11/2016	,	28919.76891
13/11/2016	,	28919.76891
14/11/2016	,	29770.35035
15/11/2016	,	30620.93179
16/11/2016	,	31471.51323
17/11/2016	,	33172.6761
18/11/2016	,	34023.25754
19/11/2016	,	31471.51323
20/11/2016	,	29770.35035
21/11/2016	,	29770.35035
22/11/2016	,	31471.51323
23/11/2016	,	33172.6761
24/11/2016	,	33172.6761
25/11/2016	,	29770.35035
26/11/2016	,	28069.18747
27/11/2016	,	29770.35035
28/11/2016	,	31471.51323
29/11/2016	,	32322.09466
30/11/2016	,	29770.35035
01/12/2016	,	33172.6761
02/12/2016	,	34873.83898
03/12/2016	,	30620.93179
04/12/2016	,	28919.76891
05/12/2016	,	34023.25754
06/12/2016	,	30620.93179
07/12/2016	,	32322.09466
08/12/2016	,	34023.25754
09/12/2016	,	32322.09466
10/12/2016	,	29770.35035
11/12/2016	,	29770.35035
12/12/2016	,	31471.51323
13/12/2016	,	33172.6761
14/12/2016	,	32322.09466
15/12/2016	,	30620.93179
16/12/2016	,	30620.93179
17/12/2016	,	30620.93179
18/12/2016	,	28919.76891
19/12/2016	,	32322.09466
20/12/2016	,	34023.25754
21/12/2016	,	40827.90905
22/12/2016	,	48483.142
23/12/2016	,	54437.21207
24/12/2016	,	44230.2348
25/12/2016	,	44230.2348
26/12/2016	,	43379.65337
27/12/2016	,	45931.39768
28/12/2016	,	55287.79351
29/12/2016	,	53586.63063
30/12/2016	,	48483.142
31/12/2016	,	38276.16473
01/01/2017	,	41361.54379
02/01/2017	,	67951.10766
03/01/2017	,	64996.71167
04/01/2017	,	70905.50364
05/01/2017	,	85677.48357
06/01/2017	,	76814.29562
07/01/2017	,	64996.71167
08/01/2017	,	62042.31569
09/01/2017	,	56133.52372
10/01/2017	,	53179.12773
11/01/2017	,	59087.9197
12/01/2017	,	62042.31569
13/01/2017	,	50224.73175
14/01/2017	,	47270.33576
15/01/2017	,	44315.93978
16/01/2017	,	41361.54379
17/01/2017	,	47270.33576
18/01/2017	,	44315.93978
19/01/2017	,	44315.93978
20/01/2017	,	41361.54379
21/01/2017	,	41361.54379
22/01/2017	,	38407.14781
23/01/2017	,	41361.54379
24/01/2017	,	41361.54379
25/01/2017	,	38407.14781
26/01/2017	,	38407.14781
27/01/2017	,	38407.14781
28/01/2017	,	35452.75182
29/01/2017	,	35452.75182
30/01/2017	,	38407.14781
31/01/2017	,	41361.54379
01/02/2017	,	44315.93978
02/02/2017	,	44315.93978
03/02/2017	,	44315.93978
04/02/2017	,	41361.54379
05/02/2017	,	41361.54379
06/02/2017	,	44315.93978
07/02/2017	,	41361.54379
08/02/2017	,	47270.33576
09/02/2017	,	47270.33576
10/02/2017	,	44315.93978
11/02/2017	,	41361.54379
12/02/2017	,	38407.14781
13/02/2017	,	38407.14781
14/02/2017	,	41361.54379
15/02/2017	,	41361.54379
16/02/2017	,	44315.93978
17/02/2017	,	41361.54379
18/02/2017	,	41361.54379
19/02/2017	,	35452.75182
20/02/2017	,	41361.54379
21/02/2017	,	47270.33576
22/02/2017	,	47270.33576
23/02/2017	,	53179.12773
24/02/2017	,	62042.31569
25/02/2017	,	50224.73175
26/02/2017	,	47270.33576
27/02/2017	,	47270.33576
28/02/2017	,	50224.73175
01/03/2017	,	50224.73175
02/03/2017	,	62042.31569
03/03/2017	,	76814.29562
04/03/2017	,	67951.10766
05/03/2017	,	56133.52372
06/03/2017	,	56133.52372
07/03/2017	,	64996.71167
08/03/2017	,	64996.71167
09/03/2017	,	59087.9197
10/03/2017	,	79768.6916
11/03/2017	,	70905.50364
12/03/2017	,	56133.52372
13/03/2017	,	56133.52372
14/03/2017	,	53179.12773
15/03/2017	,	53179.12773
16/03/2017	,	50224.73175
17/03/2017	,	56133.52372
18/03/2017	,	64996.71167
19/03/2017	,	59087.9197
20/03/2017	,	53179.12773
21/03/2017	,	53179.12773
22/03/2017	,	53179.12773
23/03/2017	,	50224.73175
24/03/2017	,	53179.12773
25/03/2017	,	56133.52372
26/03/2017	,	53179.12773
27/03/2017	,	50224.73175
28/03/2017	,	47270.33576
29/03/2017	,	50224.73175
30/03/2017	,	44315.93978
31/03/2017	,	44315.93978
01/04/2017	,	47270.33576
02/04/2017	,	44315.93978
03/04/2017	,	47270.33576
04/04/2017	,	47270.33576
05/04/2017	,	44315.93978
06/04/2017	,	47270.33576
07/04/2017	,	47270.33576
08/04/2017	,	47270.33576
09/04/2017	,	44315.93978
10/04/2017	,	44315.93978
11/04/2017	,	50224.73175
12/04/2017	,	44315.93978
13/04/2017	,	47270.33576
14/04/2017	,	44315.93978
15/04/2017	,	41361.54379
16/04/2017	,	41361.54379
17/04/2017	,	44315.93978
18/04/2017	,	50224.73175
19/04/2017	,	44315.93978
20/04/2017	,	44315.93978
21/04/2017	,	47270.33576
22/04/2017	,	44315.93978
23/04/2017	,	41361.54379
24/04/2017	,	44315.93978
25/04/2017	,	50224.73175
26/04/2017	,	53179.12773
27/04/2017	,	53179.12773
28/04/2017	,	53179.12773
29/04/2017	,	50224.73175
30/04/2017	,	50224.73175
01/05/2017	,	59087.9197
02/05/2017	,	67951.10766
03/05/2017	,	64996.71167
04/05/2017	,	82723.08759
05/05/2017	,	76814.29562
06/05/2017	,	67951.10766
07/05/2017	,	64996.71167
08/05/2017	,	70905.50364
09/05/2017	,	88631.87956
10/05/2017	,	79768.6916
11/05/2017	,	91586.27554
12/05/2017	,	106358.2555
13/05/2017	,	112267.0474
14/05/2017	,	94540.67153
15/05/2017	,	135902.2153
16/05/2017	,	118175.8394
17/05/2017	,	94540.67153
18/05/2017	,	88631.87956
19/05/2017	,	97495.06751
20/05/2017	,	97495.06751
21/05/2017	,	100449.4635
22/05/2017	,	183172.5511
23/05/2017	,	197944.531
24/05/2017	,	215670.9069
25/05/2017	,	295439.5985
26/05/2017	,	233397.2828
27/05/2017	,	183172.5511
28/05/2017	,	124084.6314
29/05/2017	,	121130.2354
30/05/2017	,	121130.2354
31/05/2017	,	121130.2354
01/06/2017	,	115221.4434
02/06/2017	,	100449.4635
03/06/2017	,	97495.06751
04/06/2017	,	91586.27554
05/06/2017	,	103403.8595
06/06/2017	,	159537.3832
07/06/2017	,	135902.2153
08/06/2017	,	112267.0474
09/06/2017	,	109312.6515
10/06/2017	,	100449.4635
11/06/2017	,	106358.2555
12/06/2017	,	153628.5912
13/06/2017	,	132947.8193
14/06/2017	,	121130.2354
15/06/2017	,	165446.1752
16/06/2017	,	115221.4434
17/06/2017	,	97495.06751
18/06/2017	,	94540.67153
19/06/2017	,	94540.67153
20/06/2017	,	100449.4635
21/06/2017	,	106358.2555
22/06/2017	,	103403.8595
23/06/2017	,	97495.06751
24/06/2017	,	97495.06751
25/06/2017	,	91586.27554
26/06/2017	,	109312.6515
27/06/2017	,	129993.4233
28/06/2017	,	121130.2354
29/06/2017	,	97495.06751
30/06/2017	,	88631.87956
01/07/2017	,	85677.48357
02/07/2017	,	85677.48357
03/07/2017	,	85677.48357
04/07/2017	,	88631.87956
05/07/2017	,	88631.87956
06/07/2017	,	85677.48357
07/07/2017	,	85677.48357
08/07/2017	,	85677.48357
09/07/2017	,	82723.08759
10/07/2017	,	91586.27554
11/07/2017	,	103403.8595
12/07/2017	,	100449.4635
13/07/2017	,	91586.27554
14/07/2017	,	94540.67153
15/07/2017	,	103403.8595
16/07/2017	,	112267.0474
17/07/2017	,	109312.6515
18/07/2017	,	109312.6515
19/07/2017	,	100449.4635
20/07/2017	,	112267.0474
21/07/2017	,	109312.6515
22/07/2017	,	94540.67153
23/07/2017	,	97495.06751
24/07/2017	,	94540.67153
25/07/2017	,	103403.8595
26/07/2017	,	97495.06751
27/07/2017	,	94540.67153
28/07/2017	,	106358.2555
29/07/2017	,	91586.27554
30/07/2017	,	91586.27554
31/07/2017	,	112267.0474
01/08/2017	,	232525.9864
02/08/2017	,	214639.3721
03/08/2017	,	125206.3004
04/08/2017	,	107319.686
05/08/2017	,	143092.9147
06/08/2017	,	125206.3004
07/08/2017	,	160979.529
08/08/2017	,	160979.529
09/08/2017	,	143092.9147
10/08/2017	,	125206.3004
11/08/2017	,	143092.9147
12/08/2017	,	160979.529
13/08/2017	,	196752.7577
14/08/2017	,	250412.6007
15/08/2017	,	250412.6007
16/08/2017	,	196752.7577
17/08/2017	,	196752.7577
18/08/2017	,	196752.7577
19/08/2017	,	178866.1434
20/08/2017	,	160979.529
21/08/2017	,	178866.1434
22/08/2017	,	178866.1434
