Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1546732800,2019-01-06T00:00:00,7.028500732457142,2.701203772954286,4.512172475930203,61.61183742071932,23.678752273717272,39.55370392400416
1546819200,2019-01-07T00:00:00,7.000775068114286,2.69031443256,4.494058327790204,61.36879424708983,23.583296315820967,39.39491530140892
1546905600,2019-01-08T00:00:00,6.9804848304,2.7416069997600006,4.560595365479999,61.190930023286406,24.032926959896166,39.97817897379768
1546992000,2019-01-09T00:00:00,7.0653731976000005,2.7749471684400002,4.616055910619999,61.9350614501616,24.325186878545043,40.464346112494916
1547078400,2019-01-10T00:00:00,7.071903072,2.7775117968,4.620322106400001,61.99230232915199,24.347668410748803,40.501743584702396
1547164800,2019-01-11T00:00:00,7.0653731976000005,2.7749471684400002,4.616055910619999,61.9350614501616,24.325186878545043,40.464346112494916
1547251200,2019-01-12T00:00:00,6.9021263375999995,2.7108314594400005,4.50940101612,60.504039475401605,23.763148573451044,39.529409307307915
1547337600,2019-01-13T00:00:00,6.87600684,2.700572946,4.492336233,60.275075959439995,23.673222444636,39.379819418478
1547424000,2019-01-14T00:00:00,6.972044856685715,2.7382921739885715,4.555081234879999,61.11694521370697,24.003869197183814,39.92984210495808
1547510400,2019-01-15T00:00:00,6.7711524408,2.65939105652,4.4238311794600005,59.3559222960528,23.31222200145432,38.77930411914635
1547596800,2019-01-16T00:00:00,6.609747879771429,2.5959989161371433,4.31837992344,57.941049914076345,22.756526498858197,37.85491840887504
1547683200,2019-01-17T00:00:00,6.459551416800001,2.5370087909200003,4.220251310659999,56.6244277196688,22.23941906120472,36.99472298924555
1547769600,2019-01-18T00:00:00,6.4368172604571425,2.528079880725714,4.20539828962,56.425140105167316,22.16114823444161,36.86452140680892
1547856000,2019-01-19T00:00:00,6.445189433828572,2.5313680777028575,4.210868123879999,56.498530576941256,22.189972569143244,36.91246997393208
1547942400,2019-01-20T00:00:00,6.543206853428571,2.6016800316628577,4.312950375611428,57.35775127715486,22.806327157556606,37.807322992609784
1548028800,2019-01-21T00:00:00,6.4748091687428575,2.605213397194286,4.304611547342857,56.75817717319989,22.83730063980511,37.734224824007484
1548115200,2019-01-22T00:00:00,6.394057337828571,2.599841726622857,4.283354946734286,56.05030662340526,22.790212575575968,37.54788946307275
1548201600,2019-01-23T00:00:00,6.407625068228571,2.6347566671028573,4.327597704854285,56.16924134809166,23.096276943823646,37.93572148075267
1548288000,2019-01-24T00:00:00,6.563381739942857,2.7287590656342857,4.468614565202857,57.534604332339086,23.920301969350152,39.171875278568244
1548374400,2019-01-25T00:00:00,6.492179114742858,2.7287590656342857,4.455535378737143,56.910442119835885,23.920301969350152,39.05722313000979
1548460800,2019-01-26T00:00:00,6.531036896571429,2.774417347257143,4.517270305428571,57.251069435345144,24.320542466056114,39.59839149738686
1548547200,2019-01-27T00:00:00,6.404588800971429,2.7207015597771433,4.429810957628571,56.14262542931555,23.849669873006437,38.83172285457205
1548633600,2019-01-28T00:00:00,6.365229267085715,2.7039814316685713,4.402587462114285,55.797599755273374,23.7031012300067,38.593081692893826
1548720000,2019-01-29T00:00:00,6.455512589142857,2.7423342413142855,4.465033008857143,56.58902335642629,24.03930195936103,39.140479355641716
1548806400,2019-01-30T00:00:00,6.382158470742858,2.711173042594286,4.414296749657142,55.94600115453188,23.76614289138151,38.69572530749451
1548892800,2019-01-31T00:00:00,6.3263560803428565,2.6874679062742857,4.375700354457143,55.456837400285494,23.55834366640039,38.35738930717132
1548979200,2019-02-01T00:00:00,6.441032413542857,2.7361829898342864,4.455017621057143,56.46209013711668,23.98538008888735,39.05268446618691
1549065600,2019-02-02T00:00:00,6.392371760742857,2.7155116995942863,4.421360894657143,56.03553085467188,23.804175558643514,38.75764960256452
1549152000,2019-02-03T00:00:00,6.388413975771429,2.713830412617143,4.4186234450285715,56.00083691161234,23.789437397001876,38.733653119120454
1549238400,2019-02-04T00:00:00,6.397855594971429,2.7178412599771433,4.425153854628571,56.08360214551954,23.824596484959635,38.79089868967406
1549324800,2019-02-05T00:00:00,6.245747921142858,2.7204949570628574,4.405166304915126,54.75022627673828,23.847858793613007,38.615687828885996
1549411200,2019-02-06T00:00:00,6.244020505885715,2.7948104125085718,4.499046351984874,54.73508375459418,24.49930807605014,39.438640321499406
1549497600,2019-02-07T00:00:00,6.175290234171428,2.845238921245715,4.55238034935126,54.132594192746744,24.941364383639932,39.90616614241315
1549584000,2019-02-08T00:00:00,6.030940511485714,2.858510161377143,4.547034332278152,52.86722452368377,25.057700074632034,39.859302956750284
1549670400,2019-02-09T00:00:00,5.906841686057143,2.8744350985942857,4.548158724889076,51.77937421997691,25.197298074277512,39.86915938237764
1549756800,2019-02-10T00:00:00,5.779498221257143,2.885376778342857,4.5424720968647065,50.66308140754011,25.293212838953487,39.81931040111601
1549843200,2019-02-11T00:00:00,5.64263322942857,2.8964075268171428,4.53543669882101,49.463322889170854,25.389908380079078,39.75763810186497
1549929600,2019-02-12T00:00:00,5.716229343599999,2.8604017240057145,4.501120782991597,50.108466425997605,25.074281512634094,39.45682478370434
1550016000,2019-02-13T00:00:00,5.8647536189142855,2.848446313605714,4.508774551664707,51.41043022340263,24.969480385067694,39.523917719892815
1550102400,2019-02-14T00:00:00,5.883413911885714,2.7767478258742853,4.420809050641177,51.57400635159017,24.340971441613988,38.75281213792056
1550188800,2019-02-15T00:00:00,5.867766232285715,2.695508883914286,4.315490938000001,51.43683879221658,23.62883087639263,37.829593562508
1550275200,2019-02-16T00:00:00,5.9006937257142855,2.712410822411429,4.341957404279833,51.72548119961142,23.776993269258583,38.061598605917006
